2010-12-02 21:13:31 Notice: Notice (8): Undefined variable: post in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 7]
2010-12-02 21:13:31 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:13:41 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:13:41 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:13:48 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:13:49 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:14:46 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:14:46 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:15:25 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:15:25 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:20:55 Notice: Notice (8): Undefined variable: item in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 6]
2010-12-02 21:20:55 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:20:55 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:26:47 Notice: Notice (8): Undefined index: rating in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 10]
2010-12-02 21:26:47 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:29:56 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:32:37 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:32:44 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 21:33:07 Notice: Notice (8): Array to string conversion in [/Users/predominant/Projects/cakephp/1.3/cake/libs/router.php, line 942]
2010-12-02 23:14:41 Notice: Notice (8): Undefined property: View::$Gravatar in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 38]
2010-12-02 23:14:59 Notice: Notice (8): Undefined property: View::$Session in [/Users/predominant/Projects/linuxformat/bookmark/views/layouts/default.ctp, line 43]
2010-12-02 23:15:09 Notice: Notice (8): Undefined property: View::$Session in [/Users/predominant/Projects/linuxformat/bookmark/views/layouts/default.ctp, line 43]
2010-12-02 23:24:26 Notice: Notice (8): Undefined property: View::$ShareThis in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 66]
2010-12-03 00:01:37 Notice: Notice (8): Use of undefined constant WEBROOT - assumed 'WEBROOT' in [/Users/predominant/Projects/linuxformat/bookmark/app_controller.php, line 39]
2010-12-03 00:01:44 Notice: Notice (8): Use of undefined constant WEB_ROOT - assumed 'WEB_ROOT' in [/Users/predominant/Projects/linuxformat/bookmark/app_controller.php, line 39]
2010-12-03 00:01:50 Notice: Notice (8): Use of undefined constant WWW - assumed 'WWW' in [/Users/predominant/Projects/linuxformat/bookmark/app_controller.php, line 39]
2010-12-03 00:02:14 Notice: Notice (8): Use of undefined constant IMG - assumed 'IMG' in [/Users/predominant/Projects/linuxformat/bookmark/app_controller.php, line 39]
2010-12-03 00:21:26 Notice: Notice (8): Undefined property: View::$Thumboo in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 3]
2010-12-03 00:32:32 Notice: Notice (8): Undefined property: View::$Thumboo in [/Users/predominant/Projects/linuxformat/bookmark/views/urls/view.ctp, line 3]
2010-12-03 01:02:24 Notice: Notice (8): Undefined property: View::$Form in [/Users/predominant/Projects/linuxformat/bookmark/views/users/add.ctp, line 2]
